username,firstname,lastname,email,auth,cohort1,lang,country,suspended
est001,Nombre1,Apellido1,est001@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est002,Nombre2,Apellido2,est002@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est003,Nombre3,Apellido3,est003@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est004,Nombre4,Apellido4,est004@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est005,Nombre5,Apellido5,est005@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est006,Nombre6,Apellido6,est006@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est007,Nombre7,Apellido7,est007@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est008,Nombre8,Apellido8,est008@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est009,Nombre9,Apellido9,est009@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est010,Nombre10,Apellido10,est010@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est011,Nombre11,Apellido11,est011@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est012,Nombre12,Apellido12,est012@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est013,Nombre13,Apellido13,est013@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est014,Nombre14,Apellido14,est014@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est015,Nombre15,Apellido15,est015@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est016,Nombre16,Apellido16,est016@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est017,Nombre17,Apellido17,est017@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est018,Nombre18,Apellido18,est018@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est019,Nombre19,Apellido19,est019@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est020,Nombre20,Apellido20,est020@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est021,Nombre21,Apellido21,est021@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est022,Nombre22,Apellido22,est022@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est023,Nombre23,Apellido23,est023@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est024,Nombre24,Apellido24,est024@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
est025,Nombre25,Apellido25,est025@colegio-demo.edu.co,oauth2,Estudiantes-2025A,es,CO,0
